OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,OrderAmount,OrderStatus
SO50001,2026-04-01,C5001,P501,1,1200,1200,Complete
SO50002,2026-04-01,C5002,P503,4,60,240,Complete
SO50003,2026-04-02,C5003,P500,2,45,90,Complete
SO50004,2026-04-02,C5004,P502,1,1500,1500,Complete
SO50005,2026-04-03,C5005,P504,10,15,150,Complete
SO50006,2026-04-03,C5006,P501,1,1200,1200,Complete
SO50007,2026-04-04,C5001,P503,3,60,180,Complete
SO50008,2026-04-04,C5002,P504,8,15,120,Complete
SO50009,2026-04-05,C5003,P503,5,60,300,Complete
SO50010,2026-04-05,C5004,P500,2,45,90,Complete
